cell,row,column,letter,black_square,clue_number,across_clue,down_clue,answer
"E3","E","3","G","","18","","",""
"E4","E","4","E","","","","",""
"E5","E","5","T","","","","",""
"E6","E","6","W","","","","",""
"E7","E","7","H","","","","",""
"E8","E","8","A","","","","",""
"E9","E","9","T","","","","",""
"E10","E","10","Y","","","","",""
"E11","E","11","O","","","","",""
"E12","E","12","U","","","","",""
"E13","E","13","N","","","","",""
"E14","E","14","E","","","","",""
"E15","E","15","E","","","","",""
"E16","E","16","D","","","","",""
"E17","E","17","","TRUE","","","",""
"E18","E","18","C","","","","",""
"F1","F","1","E","","19","","",""
"F2","F","2","L","","","","",""
"F3","F","3","O","","","","",""
"F4","F","4","","TRUE","","","",""
"F5","F","5","T","","","","",""
"F6","F","6","","TRUE","","","",""
"F7","F","7","","TRUE","","","",""
"F8","F","8","C","","","","",""
"F9","F","9","","TRUE","","","",""
"F10","F","10","","TRUE","","","",""
"F11","F","11","R","","","","",""
"F12","F","12","","TRUE","","","",""
"F13","F","13","","TRUE","","","",""
"F14","F","14","S","","","","",""
"F15","F","15","","TRUE","","","",""
"F16","F","16","D","","20","","",""
"F17","F","17","E","","","","",""
"F18","F","18","E","","","","",""
"G1","G","1","R","","","","",""
"G2","G","2","","TRUE","","","",""
"G3","G","3","","TRUE","","","",""
"G4","G","4","","TRUE","","","",""
"G5","G","5","H","","","","",""
"G6","G","6","","TRUE","","","",""
"G7","G","7","","TRUE","","","",""
"G8","G","8","H","","","","",""
"G9","G","9","","TRUE","","","",""
"G10","G","10","","TRUE","","","",""
"G11","G","11","S","","","","",""
"G12","G","12","","TRUE","","","",""
"G13","G","13","","TRUE","","","",""
"G14","G","14","A","","","","",""
"G15","G","15","","TRUE","","","",""
"G16","G","16","","TRUE","","","",""
"G17","G","17","","TRUE","","","",""
"G18","G","18","S","","","","",""
"H1","H","1","I","","","","",""
"H2","H","2","","TRUE","","","",""
"H3","H","3","Q","","21","","",""
"H4","H","4","U","","","","",""
"H5","H","5","E","","","","",""
"H6","H","6","E","","","","",""
"H7","H","7","N","","","","",""
"H8","H","8","","TRUE","","","",""
"H9","H","9","","TRUE","","","",""
"H10","H","10","","TRUE","","","",""
"H11","H","11","","TRUE","","","",""
"H12","H","12","S","","22","","",""
"H13","H","13","A","","","","",""
"H14","H","14","L","","","","",""
"H15","H","15","S","","","","",""
"H16","H","16","A","","","","",""
"H17","H","17","","TRUE","","","",""
"H18","H","18","R","","","","",""
"I1","I","1","N","","23","","",""
"I2","I","2","O","","","","",""
"I3","I","3","","TRUE","","","",""
"I4","I","4","","TRUE","","","",""
"I5","I","5","R","","","","",""
"I6","I","6","","TRUE","","","",""
"I7","I","7","","TRUE","","","",""
"I8","I","8","","TRUE","","","",""
"I9","I","9","A","","24","","",""
"I10","I","10","C","","25","","",""
"I11","I","11","","TRUE","","","",""
"I12","I","12","","TRUE","","","",""
"I13","I","13","","TRUE","","","",""
"I14","I","14","O","","","","",""
"I15","I","15","","TRUE","","","",""
"I16","I","16","","TRUE","","","",""
"I17","I","17","","TRUE","","","",""
"I18","I","18","E","","","","",""
"J1","J","1","G","","","","",""
"J2","J","2","","TRUE","","","",""
"J3","J","3","","TRUE","","","",""
"J4","J","4","","TRUE","","","",""
"J5","J","5","E","","","","",""
"J6","J","6","","TRUE","","","",""
"J7","J","7","","TRUE","","","",""
"J8","J","8","","TRUE","","","",""
"J9","J","9","D","","26","","",""
"J10","J","10","C","","","","",""
"J11","J","11","","TRUE","","","",""
"J12","J","12","","TRUE","","","",""
"J13","J","13","","TRUE","","","",""
"J14","J","14","S","","","","",""
"J15","J","15","","TRUE","","","",""
"J16","J","16","","TRUE","","","",""
"J17","J","17","","TRUE","27","","",""
"J18","J","18","S","","","","",""
"K1","K","1","H","","","","",""
"K2","K","2","","TRUE","","","",""
"K3","K","3","A","","28","","",""
"K4","K","4","B","","","","",""
"K5","K","5","B","","","","",""
"K6","K","6","E","","","","",""
"K7","K","7","Y","","","","",""
"K8","K","8","","TRUE","","","",""
"K9","K","9","","TRUE","","","",""
"K10","K","10","","TRUE","","","",""
"K11","K","11","","TRUE","","","",""
"K12","K","12","L","","29","","",""
"K13","K","13","O","","","","",""
"K14","K","14","T","","","","",""
"K15","K","15","T","","","","",""
"K16","K","16","A","","","","",""
"K17","K","17","","TRUE","","","",""
"K18","K","18","T","","","","",""
"L1","L","1","E","","","","",""
"L2","L","2","","TRUE","","","",""
"L3","L","3","","TRUE","","","",""
"L4","L","4","","TRUE","","","",""
"L5","L","5","E","","","","",""
"L6","L","6","","TRUE","","","",""
"L7","L","7","","TRUE","","","",""
"L8","L","8","C","","30","","",""
"L9","L","9","","TRUE","","","",""
"L10","L","10","","TRUE","","","",""
"L11","L","11","H","","31","","",""
"L12","L","12","","TRUE","","","",""
"L13","L","13","","TRUE","","","",""
"L14","L","14","C","","","","",""
"L15","L","15","","TRUE","","","",""
"L16","L","16","","TRUE","","","",""
"L17","L","17","","TRUE","","","",""
"L18","L","18","A","","","","",""
"M1","M","1","I","","32","","",""
"M2","M","2","M","","","","",""
"M3","M","3","A","","33","","",""
"M4","M","4","","TRUE","","","",""
"M5","M","5","R","","","","",""
"M6","M","6","","TRUE","","","",""
"M7","M","7","","TRUE","","","",""
"M8","M","8","O","","","","",""
"M9","M","9","","TRUE","","","",""
"M10","M","10","","TRUE","","","",""
"M11","M","11","O","","","","",""
"M12","M","12","","TRUE","","","",""
"M13","M","13","","TRUE","","","",""
"M14","M","14","A","","","","",""
"M15","M","15","","TRUE","","","",""
"M16","M","16","S","","34","","",""
"M17","M","17","T","","","","",""
"M18","M","18","U","","","","",""
"N1","N","1","N","","","","",""
"N2","N","2","","TRUE","","","",""
"N3","N","3","T","","35","","",""
"N4","N","4","O","","","","",""
"N5","N","5","O","","","","",""
"N6","N","6","D","","","","",""
"N7","N","7","R","","","","",""
"N8","N","8","U","","","","",""
"N9","N","9","N","","","","",""
"N10","N","10","K","","","","",""
"N11","N","11","T","","","","",""
"N12","N","12","O","","","","",""
"N13","N","13","F","","","","",""
"N14","N","14","U","","","","",""
"N15","N","15","C","","","","",""
"N16","N","16","K","","","","",""
"N17","N","17","","TRUE","","","",""
"N18","N","18","R","","","","",""
"O1","O","1","G","","36","","",""
"O2","O","2","H","","","","",""
"O3","O","3","I","","","","",""
"O4","O","4","","TRUE","","","",""
"O5","O","5","P","","","","",""
"O6","O","6","","TRUE","","","",""
"O7","O","7","","TRUE","","","",""
"O8","O","8","N","","","","",""
"O9","O","9","","TRUE","","","",""
"O10","O","10","","TRUE","","","",""
"O11","O","11","E","","","","",""
"O12","O","12","","TRUE","","","",""
"O13","O","13","","TRUE","","","",""
"O14","O","14","S","","","","",""
"O15","O","15","","TRUE","","","",""
"O16","O","16","I","","37","","",""
"O17","O","17","N","","","","",""
"O18","O","18","A","","","","",""
"P1","P","1","H","","","","",""
"P2","P","2","","TRUE","","","",""
"P3","P","3","","TRUE","","","",""
"P4","P","4","I","","38","","",""
"P5","P","5","K","","","","",""
"P6","P","6","E","","39","","",""
"P7","P","7","","TRUE","","","",""
"P8","P","8","T","","","","",""
"P9","P","9","","TRUE","","","",""
"P10","P","10","","TRUE","","","",""
"P11","P","11","L","","","","",""
"P12","P","12","","TRUE","","","",""
"P13","P","13","J","","40","","",""
"P14","P","14","E","","","","",""
"P15","P","15","T","","41","","",""
"P16","P","16","","TRUE","","","",""
"P17","P","17","","TRUE","","","",""
"P18","P","18","N","","","","",""
"Q1","Q","1","T","","","","",""
"Q2","Q","2","","TRUE","","","",""
"Q3","Q","3","","TRUE","","","",""
"Q4","Q","4","L","","","","",""
"Q5","Q","5","","TRUE","","","",""
"Q6","Q","6","L","","","","",""
"Q7","Q","7","","TRUE","","","",""
"Q8","Q","8","","TRUE","","","",""
"Q9","Q","9","I","","42","","",""
"Q10","Q","10","","TRUE","","","",""
"Q11","Q","11","","TRUE","","","",""
"Q12","Q","12","","TRUE","","","",""
"Q13","Q","13","O","","","","",""
"Q14","Q","14","","TRUE","","","",""
"Q15","Q","15","I","","","","",""
"Q16","Q","16","","TRUE","","","",""
"Q17","Q","17","","TRUE","","","",""
"Q18","Q","18","","TRUE","","","",""
"R1","R","1","","TRUE","","","",""
"R2","R","2","O","","43","","",""
"R3","R","3","I","","","","",""
"R4","R","4","L","","","","",""
"R5","R","5","","TRUE","","","",""
"R6","R","6","M","","44","","",""
"R7","R","7","A","","","","",""
"R8","R","8","S","","","","",""
"R9","R","9","T","","","","",""
"R10","R","10","A","","","","",""
"R11","R","11","D","","","","",""
"R12","R","12","O","","","","",""
"R13","R","13","N","","","","",""
"R14","R","14","","TRUE","","","",""
"R15","R","15","E","","45","","",""
"R16","R","16","M","","","","",""
"R17","R","17","I","","","","",""
"R18","R","18","","TRUE","","","",""

